construct	frequency	avg_constituent_len
1	17565	1.480785653287788
2	4831	1.641896087766508
3	2496	1.6509081196581197
4	1589	1.6211453744493391
5	990	1.6301010101010098
6	568	1.6382042253521127
7	354	1.5907990314769975
8	207	1.6111111111111112
9	136	1.6372549019607845
10	101	1.620792079207921
11	68	1.6350267379679144
12	45	1.6333333333333335
13	26	1.6065088757396448
14	16	1.7053571428571428
15	13	1.6564102564102563
16.733333333333334	15	1.6425925925925926
20.6	10	1.7193249427917618
29.0	11	1.6943807406486833
