construct	frequency	avg_constituent_len
1	4152	2.257947976878613
2	4434	1.8024357239512856
3	2815	1.7208999407933687
4	1822	1.7062294182217344
5	1218	1.705582922824302
6	821	1.7190418189200163
7	502	1.659931701764371
8	264	1.7315340909090908
9	183	1.7285974499089254
10	126	1.6738095238095236
11	91	1.7232767232767232
12	61	1.8346994535519128
13	40	1.698076923076923
14	20	1.8464285714285715
15	23	1.8695652173913044
16	11	1.8465909090909092
17	10	1.8411764705882354
18	7	1.9523809523809526
19	2	1.736842105263158
20	6	1.7666666666666668
21	1	1.5238095238095237
22	3	2.6666666666666665
23	3	1.3043478260869565
24	3	1.611111111111111
25	4	1.81
27	2	2.0925925925925926
28	1	1.5357142857142858
30	1	1.6
33	1	1.2727272727272727
48	1	1.8541666666666667
57	1	1.4912280701754386
