construct	frequency	avg_constituent_len
1	4152	2.2579479768786133
2	4434	1.8024357239512856
3	2815	1.7208999407933687
4	1822	1.7062294182217344
5	1218	1.7055829228243018
6	821	1.7190418189200165
7	502	1.6599317017643709
8	264	1.7315340909090908
9	183	1.7285974499089254
10	126	1.6738095238095236
11	91	1.7232767232767232
12	61	1.8346994535519128
13	40	1.6980769230769233
14	20	1.8464285714285715
15	23	1.8695652173913044
16	11	1.8465909090909087
17	10	1.8411764705882356
18.933333333333334	15	1.849356725146199
22.8	10	1.8270186335403724
31.818181818181817	11	1.7435474073153499
