construct	frequency	avg_constituent_len
1	3795	2.0798418972332016
2	3974	1.7162808253648716
3	2428	1.6548599670510706
4	1532	1.6225522193211488
5	984	1.6306910569105693
6	568	1.6382042253521127
7	351	1.5921855921855919
8	207	1.6111111111111112
9	135	1.6362139917695473
10	99	1.619191919191919
11	68	1.6350267379679144
12	45	1.6333333333333335
13	26	1.6065088757396448
14	16	1.7053571428571428
15	13	1.6564102564102563
16.733333333333334	15	1.6425925925925926
20.6	10	1.7193249427917618
29.0	11	1.6943807406486833
