sent_id	character	component_n	stroke_n
A010001	大	1	3
A010001	墙	5	14
A010001	内	2	4
A010001	外	2	5
A010001	北	1	5
A010001	京	3	8
A010001	市	2	5
A010001	监	3	10
A010001	狱	3	9
A010001	纪	2	6
A010001	实	3	8
A010001	三	3	3
A010002	田	3	5
A010002	珍	3	9
A010002	颖	3	13
A010003	或	3	8
A010003	许	3	6
A010003	严	4	7
A010003	同	3	6
A010003	已	1	3
A010003	在	2	6
A010003	这	2	7
A010003	忙	2	6
A010003	碌	3	13
A010003	中	1	4
A010003	开	1	4
A010003	始	3	8
A010003	算	3	14
A010003	清	2	11
A010003	了	1	2
A010003	为	1	4
A010003	那	2	6
A010003	九	1	2
A010003	十	1	2
A010003	万	1	3
A010003	斤	1	4
A010003	粮	2	13
A010003	票	2	11
A010003	他	2	5
A010003	应	2	7
A010003	付	2	5
A010003	出	2	5
A010003	的	2	8
A010003	巨	2	4
A010003	代	2	5
A010003	价	3	6
A010004	又	1	2
A010004	从	2	4
A010004	学	3	8
A010004	习	1	3
A010004	着	2	11
A010004	校	3	10
A010004	未	1	5
A010004	过	2	6
A010004	知	2	8
A010004	识	3	7
A010004	人	1	2
A010004	生	1	5
A010005	就	4	12
A010005	肖	2	7
A010005	立	2	5
A010005	个	1	3
A010005	而	1	6
A010005	言	4	7
A010005	走	2	7
A010005	一	1	1
A010005	条	2	7
A010005	悲	2	12
A010005	剧	4	10
A010005	式	2	6
A010005	路	3	13
A010006	若	3	8
A010006	社	2	7
A010006	会	3	6
A010006	角	2	7
A010006	度	3	9
A010006	来	1	7
A010006	看	2	9
A010006	判	2	7
A010006	刑	2	6
A010006	是	2	9
A010006	教	3	11
A010006	育	2	8
A010006	失	1	5
A010006	败	2	8
A010006	家	2	10
A010006	庭	3	9
A010007	父	2	4
A010007	母	1	5
A010007	期	3	12
A010007	望	3	11
A010007	儿	1	2
A010007	子	1	3
A010007	成	1	6
A010007	龙	1	8
A010008	重	1	9
A010008	点	3	9
A010008	桂	3	10
A010008	冠	4	9
A010008	使	2	8
