sent_id	clause_text	lds_n	word_n
652	过+现在+时间+已+了+分钟+五+	4	7
664	结束+发言+我+的+到此+	3	5
665	暂停+现在+会议+	1	3
667	延迟+我+想+不+再+	3	5
677	给+我+会+大家+时间+	3	5
679	刚才+他+	1	2
681	好+的+	1	2
686	进行+主持人+作为+会议+我+只+能+规则+根据+会议+程序+	7	11
690	看+我+到+不+	2	4
692	看+因为+我+到+不+	3	5
694	执行+我+只是+规则+会议+	3	5
697	主持+规则+根据+会议+我+现在+只+能+过程+投票+的+	8	11
698	处理+事情+其他+我+无法+	3	5
711	感谢+主席+	1	2
714	听+我们+已+罢+解释+他+的+	4	7
717	存在+但+copy+相关+的+却+并不+	5	7
718	电邮+原来+那+是+一+封+	5	6
719	正本+信+第二+封+才+是+	4	6
720	收+但+他+暂时+仍+未+到+	5	7
721	提出+我+想+此+就+问题+规程+	4	7
725	有+而+我+本人+也+份+一+	4	7
744	正本+而+好+最+当然+是+	4	6
753	作+而+身份+我+主席+这+个+的+也+能够+不+回答+任何+	8	13
754	能够+我+只+	2	3
756	要紧+不+	1	2
757	拥有+但+说法+按照+你+刚才+的+主席+作为+立法会+便+不+能够+居留权+外国+	11	15
761	多谢+	1	1
763	正确+这+是+的+	2	4
765	主持+我+只+能够+	3	4
766	坐+主席+那么+你+这里+在+做+什么+	5	8
770	主持+第一+投票+选举+主席+的+	3	6
772	做+我+只是+事+这+两+件+	5	7
773	做+而+不+应该+事+其他+	4	6
774	问题+最后+规程+一+个+	3	5
790	点+这+是+第一+	3	4
806	点+这+是+第一+	3	4
807	投票权+点+第二+是+关于+议员+的+	5	7
824	理解+议员+作为+我们+都+很+	4	6
830	谢谢+	1	1
836	谘询+而+我们+似乎+未+有+充分+意见+法律+	7	9
838	提到+刚才+问题+规程+	2	4
842	多谢+主席+	1	2
847	大学生+我+仍+是+一+名+	5	6
848	不如+但+程度+选举+这+次+的+严谨+选举+比+学生会+大学+更+	7	13
856	问题+这+是+第一+个+	4	5
874	乐意+他+当然+	2	3
880	谢谢+主席+	1	2
893	参考+只+大家+供+而已+	2	5
896	修正+主席+那么+我+问题+我+第一+个+	6	8
899	来+主席+那么+我+问题+下+一+个+了+	6	9
903	涉及+主席+这里+问题+次序+先后+的+	4	7
906	问题+这+是+严重+很+的+规程+	4	7
912	和应+我+谢伟俊+议员+	1	4
913	称职+他+不+	2	3
914	改选+要+主席+	1	3
917	有+你+可以+决定+你+的+	4	6
924	解释+你+又+如何+呢+	3	5
926	搞+所以+你+不+要+错+逻辑+这个+	5	8
934	质疑+你+可以+做法+我+的+	4	6
946	说+我+已+了+	2	4
949	决定+这+是+错+的+	4	5
951	作出+我+已+决定+	2	4
953	说+为何+话+你+这些+不+他们+跟+	5	8
958	这样+梁耀忠+为何+要+呢+	3	5
963	问题+主席+规程+	2	3
974	梁美芬+教授+	1	2
979	订+第四十二+条+清楚+明+	2	5
984	陈志全+议员+位+下+一+是+	4	6
985	说+梁颂恒+议员+尚+未+完+	3	6
986	坐+梁颂恒+议员+你+刚才+下来+	3	6
990	混乱+刚才+较为+	2	3
991	选举+其实+在+中+	2	4
996	出现+现在+了+问题+两+个+	3	6
997	成疑+第一+候选人+的+资格+	3	5
1002	有+条+在+第十二+会议+任期+每+届+的+首+次+已+规定+明确+	8	14
